DATA_SOURCE,RECORD_ID,NAME_LAST,NAME_FIRST,NAME_MIDDLE,SSN_NUMBER,DATE_OF_BIRTH,GENDER,ADDR_LINE1,ADDR_CITY,ADDR_STATE,ADDR_POSTAL,HOME_PHONE_NUMBER,MOBILE_PHONE_NUMBER,CASE_NUMBER,LAST_ACTION,RELATIONSHIP_KEY,RELATIONSHIP_TYP,RELATIONSHIP_ROLE,ACCOUNT_NUMBER,FRAUD_INFO,SANCTION_REFERENCE,EMPLOYEE_INFO
ADULT_SERVICES,6362,Smith,Marisol,,,2/5/92,F,111 First St,Las Vegas,NV,89111,702-233-6179,,6300,3/1/2017 Home care,6362-6363,CASE,child,,,,
ADULT_SERVICES,6363,Smith,Bill,,,12/4/65,M,111 First St,Las Vegas,NV,89111,,,6300,,6362-6363,CASE,parent,,,,
CHILD_WELFARE,3213,Smith,Susie,,,3/15/15,F,815 Main St,Las Vegas,NV,89111,,,3200,,3213-3214,CASE,child,,,,
CHILD_WELFARE,3214,Smith,Mary,,213-76-7651,,F,815 Main St,Las Vegas,NV,89111,702-233-6179,,3200,6/1/2018 Nutrition Class,3213-3214,CASE,parent,,,,
EMERGENCY_CONTACT,1002-ER1,Touley,Emma,,,,,3312 Desert Way,Las Vegas,NV,89111,,,,,1002-ER1,EEC,,EXT-123212,,,
EMPLOYEE,1002,Jones,Joseph,,371-23-8923,6/15/86,M,,,,,,,,,1002-ER1,EEC,,,,,
FRAUD_LIST,1231,Smith,William,,,12/4/65,M,815 Main St,Las Vegas,NV,89111,,,,,,,,,3/16/2018 False Claims,,
JOB_APPLICANT,41253,Johnson,Raymond,,552-21-2345,3/12/82,,456 River Rd,Henderson,NV,89111,,,,,,,,,,,
SANCTION_LIST,89229330,Touley,Emma,,,1982,,3312 Desert Way,Las Vegas,NV,89111,,,,,,,,,,4/10/2017 Interpol Red List,
WELFARE_WORK,8219,Smith,Mar,,213-67-7651,5/2/92,,3121 First St,Las Vegas,NV,89111,,702-233-6179,8200,7/3/2018 Job Placement,,,,,,,
